id,company,year,category,verbatim,hand_locus,hand_specificity,notes
59,hubspot,2019,remote_flexibility,flexible work hours,individual,named_no_number,
60,meta,2009,caregiver_support,"$4,000 baby cash to all new custodial parents",structural,enumerated_number,
61,meta,2009,caregiver_support,"up to $3,000 toward day care/babysitting assistance per year",structural,enumerated_number,
62,meta,2009,mental_health_eap,Employee Assistance Program,individual,named_no_number,
63,meta,2009,parental_leave,up to 4 months of Paid Parental Leave,structural,enumerated_number,
64,meta,2009,pto_accrued,21 days of paid vacation,individual,enumerated_number,
65,meta,2009,pto_unlimited,unlimited sick days,individual,named_no_number,
66,meta,2009,wellness_perk,50% reimbursement of most monthly gym fees,individual,enumerated_number,
67,meta,2010,caregiver_support,"reimbursed for up to $3,000 toward day care/babysitting assistance per year",structural,enumerated_number,
68,meta,2010,parental_leave,up to 4 months of Paid Parental Leave,structural,enumerated_number,
69,meta,2010,pto_accrued,21 days of paid vacation,individual,enumerated_number,
70,meta,2010,pto_unlimited,unlimited sick days,individual,named_no_number,
71,meta,2010,wellness_perk,50% reimbursement of most monthly gym fees,individual,enumerated_number,
72,salesforce,2008,caregiver_support,Meals on Salesforce.com: takeout meals for new moms and dads,structural,named_no_number,
73,salesforce,2008,other,Foundation Paid time-off for community service work,ambiguous,named_no_number,
74,salesforce,2008,parental_leave,Paid Maternity/Paternity Programs,structural,named_no_number,
75,salesforce,2008,pto_accrued,Three (3) weeks off per year (starts accruing on your date of hire),individual,enumerated_number,
76,salesforce,2008,wellness_perk,Health & Fitness Reimbursement programs,individual,named_no_number,
77,salesforce,2008,wellness_perk,Yoga Classes,individual,named_no_number,
78,salesforce,2012,other,Annual sales club trips to Hawaii,exclude,named_no_number,
79,salesforce,2012,pto_accrued,6 paid days a year to volunteer,ambiguous,enumerated_number,VTO mislabeled pto_accrued; stays ambiguous per VTO rule
80,salesforce,2012,pto_accrued,3 weeks paid time off in your first year of employment,individual,enumerated_number,
81,salesforce,2012,wellness_perk,fitness reimbursement,individual,named_no_number,
82,salesforce,2012,wellness_perk,on-site free yoga,individual,named_no_number,
83,starbucks,2013,caregiver_support,Referral and support resources for child and eldercare,structural,generic,
84,starbucks,2013,other,more than 50 partner clubs and networks that help our partners share interests and find work/life balance,individual,generic,
85,starbucks,2013,wellness_perk,all the handcrafted beverages you can drink,individual,generic,
86,starbucks,2014,other,other time-off programs,ambiguous,generic,
87,starbucks,2014,sabbatical,career sabbaticals,structural,named_no_number,
88,starbucks,2015,other,full tuition reimbursement,exclude,named_no_number,
89,starbucks,2015,other,100 percent tuition coverage for all four years of a bachelor's degree,exclude,enumerated_number,
90,stripe,2012,pto_unlimited,Open vacation policy. We don't count days.,individual,named_no_number,
